Simulation,Seed,Crash Severity (%),Recovery Time (Ticks),Recovered
Baseline Model With Stop Loss,79,6.46,66,1
Baseline Model With Stop Loss,78,8.39,114,1
Baseline Model With Stop Loss,80,7.09,90,1
Baseline Model With Stop Loss,81,8.77,80,1
Baseline Model With Stop Loss,82,9.21,87,1
Baseline Model With Stop Loss,83,8.16,99,1
Baseline Model With Stop Loss,85,9.29,109,1
Baseline Model With Stop Loss,84,8.63,150,1
Baseline Model With Stop Loss,87,7.85,87,1
Baseline Model With Stop Loss,86,7.42,90,1
Baseline Model With Stop Loss,88,7.28,101,1
Baseline Model With Stop Loss,89,9.03,101,1
Baseline Model With Stop Loss,90,8.36,157,1
Baseline Model With Stop Loss,91,8.15,107,1
Baseline Model With Stop Loss,92,7.14,82,1
Baseline Model With Stop Loss,93,8.25,115,1
Baseline Model With Stop Loss,95,5.34,51,1
Baseline Model With Stop Loss,94,8.59,112,1
Baseline Model With Stop Loss,96,7.48,83,1
Baseline Model With Stop Loss,97,9.07,137,1
Baseline Model With Stop Loss,98,7.97,91,1
Baseline Model With Stop Loss,101,8.32,111,1
Full Market,1,5.34,99,1
Full Market,0,7.04,100,1
Full Market,4,6.64,104,1
Full Market,6,5.15,166,1
Full Market,3,7.9,139,1
Full Market,2,9.57,121,1
Full Market,5,5.11,100,1
Full Market,7,8.05,125,1
Full Market,10,4.55,92,1
Full Market,8,5.72,80,1
Full Market,12,5.46,102,1
Full Market,11,7.19,78,1
Full Market,9,9.26,148,1
Full Market,13,7.35,94,1
Full Market,15,5.36,,0
Full Market,14,6.24,89,1
Full Market,17,5.22,94,1
Full Market,20,6.38,66,1
Full Market,16,7.78,127,1
Full Market,18,6.69,86,1
Full Market,21,5.92,81,1
Full Market,22,7.55,110,1
Full Market,23,7.85,129,1
Full Market,19,8.28,112,1
Full Market,24,7.23,192,1
Full Market,26,5.46,342,1
Full Market,27,4.6,47,1
Full Market,25,7.39,132,1
Full Market,28,5.56,94,1
Full Market,29,7.07,113,1
Full Market,30,5.62,84,1
Full Market,31,11.05,167,1
Full Market,33,5.96,84,1
Full Market,32,6.4,94,1
Full Market,34,7.27,130,1
